,id,type,title,director,genres,overview,vote_average,vote_count
454,s6095,Movie,The Art of War,Christian Duguay,['Action & Adventure'],"Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name.",5.6,135
455,s6096,Movie,The Artist,Michel Hazanavicius,"['Comedies, Dramas, Independent Movies']","Winner of five Oscars, this black-and-white silent film follows the romance between a silent-era legend on a downward spiral and a rising starlet.",7.3,1049
456,s6156,Movie,The Book of Eli,"Albert Hughes, Allen Hughes","['Action & Adventure, Sci-Fi & Fantasy']","Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.",6.6,2164
457,s6163,Movie,The Bounty Hunter,Andy Tennant,"['Action & Adventure, Comedies, Romantic Movies']","Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.",5.5,858
458,s6164,Movie,The Box,Richard Kelly,"['Sci-Fi & Fantasy, Thrillers']",A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger.,5.4,597
459,s6165,Movie,The Boy,William Brent Bell,"['Horror Movies, Independent Movies, Thrillers']",A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,5.8,1102
460,s6177,Movie,The Break-Up,Peyton Reed,"['Comedies, Dramas, Romantic Movies']",Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.,5.6,832
461,s6184,Movie,The Brothers Grimm,Terry Gilliam,"['Action & Adventure, Sci-Fi & Fantasy']","Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.",5.6,818
462,s6185,Movie,The Bucket List,Rob Reiner,"['Comedies, Dramas']",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,7.0,1111
463,s6196,Movie,The Call,Lee Chung-hyun,"['International Movies, Thrillers']","Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",6.6,1257
464,s6197,TV Show,The Calling,Bumpy,"['International TV Shows, Reality TV']","Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship.",5.6,88
465,s6205,Movie,The Cell,Tarek Al Eryan,"['Action & Adventure, Dramas, International Movies']",A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,6.0,436
466,s6218,Movie,The Christmas Candle,John Stephenson,"['Dramas, Faith & Spirituality']",A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents.,5.8,8
467,s6223,TV Show,The Circle,,['Reality TV'],"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",6.6,17
468,s6243,Movie,The Conjuring,James Wan,"['Horror Movies, Thrillers']","Based on true events, this spine-chiller tells the story of a New England family who begins having encounters with spirits in their farmhouse.",7.4,3092
469,s6246,Movie,The Craft,Andrew Fleming,"['Horror Movies, Thrillers']","At a Catholic school, a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them, even their parents.",6.3,380
470,s6250,Movie,The Crew,Julien Leclercq,"['Action & Adventure, International Movies']","After an unexpected misstep, a crew of skilled Parisian robbers find themselves forced to carry out a daring heist for a powerful crime organization.",6.4,11
471,s6253,Movie,The Croods,"Kirk De Micco, Chris Sanders","['Children & Family Movies, Comedies']","When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.",6.8,2399
472,s6254,Movie,The Crow,Alex Proyas,"['Action & Adventure, Cult Movies, Sci-Fi & Fantasy']","One year after Eric Draven and his fiancée are murdered, Draven – watched over by a hypnotic crow – returns from the grave to exact revenge.",7.3,953
473,s6257,Movie,The Crying Game,Neil Jordan,"['Classic Movies, Independent Movies, Thrillers']","IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love.",6.9,176
474,s6263,Movie,The Da Vinci Code,Ron Howard,['Thrillers'],"When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci.",6.5,2704
475,s6289,Movie,The Departed,Martin Scorsese,"['Dramas, Thrillers']",Two rookie Boston cops are sent deep undercover – one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,7.9,4339
